FPF,2020-07-09(sell)
FIT,2020-07-09(buy)
FDP,2020-07-09(sell*)
RESI,2020-07-09(sell)
GPS,2020-07-09(sell)
GAM,2020-07-10(buy*),2020-07-13(sell)
GEO,2020-07-13(buy)
GPRK,2020-07-09(sell)
GPJA,2020-07-10(buy*)
GFL,2020-07-09(sell)
GIX,2020-07-10(buy*)
GLP,2020-07-09(sell*)
GS,2020-07-13(buy*)
GGG,2020-07-13(buy)
GPK,2020-07-09(sell),2020-07-10(buy*),2020-07-13(sell)
GDOT,2020-07-13(sell)
GBX,2020-07-13(buy*)
GHL,2020-07-09(buy)
GEF,2020-07-09(sell)
GTT,2020-07-13(sell*)
HBB,2020-07-09(sell)
HOG,2020-07-09(buy*)
HCA,2020-07-09(sell*),2020-07-10(buy)
HCI,2020-07-13(buy*)
HLF,2020-07-09(sell),2020-07-13(buy*)
PSV,2020-07-10(buy)
HSY,2020-07-09(sell*)
HLT,2020-07-10(buy),2020-07-13(sell*)
HMN,2020-07-13(buy)
HLI,2020-07-09(sell*)
HUBB,2020-07-09(buy),2020-07-13(sell*)
HUBS,2020-07-13(sell)
HUM,2020-07-13(sell)
ICL,2020-07-10(buy)
IDT,2020-07-13(sell)
ITW,2020-07-10(sell)
IMAX,2020-07-09(buy)
IHC,2020-07-13(buy*)
NGVT,2020-07-10(buy*)
INSW,2020-07-10(buy)
IHIT,2020-07-13(buy*)
VMO,2020-07-09(buy*)
VKQ,2020-07-09(buy*)
IRM,2020-07-13(buy)
ITCB,2020-07-09(sell)
JPM,2020-07-13(buy)
JEF,2020-07-13(buy*)
JELD,2020-07-10(buy*),2020-07-13(sell)
HTY,2020-07-09(sell*)
KB,2020-07-10(sell)
K,2020-07-09(sell),2020-07-10(buy*)
PHG,2020-07-09(sell)
KEP,2020-07-13(buy)
KR,2020-07-09(sell)
KRO,2020-07-13(buy*)
LVS,2020-07-13(buy)
LMHA,2020-07-10(buy)
LMHB,2020-07-10(buy*)
LEG,2020-07-09(sell)
LII,2020-07-13(sell)
LHC,2020-07-13(buy*)
LYV,2020-07-13(buy)
RAMP,2020-07-10(buy*)
L,2020-07-13(buy)
LXU,2020-07-09(sell*)
MSGS,2020-07-10(buy)
MGY,2020-07-13(sell)
MNK,2020-07-13(buy)
MANU,2020-07-09(sell*)
